,Unnamed: 0,Tweets,Language,Sentiment
0,0,,en,neutral
1,1,"#Elvish is giving lot of hints to #AbhishekhMalhan..but he is not able to understand

Yarr Elvish 
#BiggBossOTT2 #BBOTT2 #BebikaDhruve #JadHadid #PoojaBhatt #Abhisha #AbhishekMalhan #AvinashSachdev #ManishaRani #JiyaShankar #ElvishArmy #ElvishYadav #Elvishraosaha",en,negative
2,2,"
18+ conversation by these 4 
Is totally Hilarious 
#Elvish bhai 
#BiggBossOTT2onJioCinema
#BiggBossOTT2 #BBOTT2 #JadHadid #PoojaBhatt #Abhisha #AbhishekMalhaan #ManishaRani #JiyaShankar #AbhishekMalhan #SalmanKhan #Elvishraosahab #FukraInsaan… Show more",en,positive
3,3,"#abhisha

Best moment  #AbhishekIsTheBoss #AbhishekhMalhaan #ManishaRani #ManishaIsTheBoss #Manisha #ManishaRaniForTheWin #ABHISHA #Elvish #elvishyadav #AbhishekMalhaan",en,positive
4,4,"#Aashika Ne apna  Partha offer kiya Elvish Ko 
thank you #AashikaBhatia 
After #FalakNaaz interrrupt #Elvish to have only 2 Paratha

Friendship OF These 4 Are stealing Our Heart 
#ElvishYadav #ElvishArmy
#BigBossOTT2 #AashikaBhatia #AashikaIsTheBoss",en,neutral
5,5,"#Elvish is us guys..he wants #AbhiSha to happen 
#BiggBossOTT2onJioCinema
#BiggBossOTT2 #BBOTT2 #JadHadid #PoojaBhatt #Abhisha #AbhishekMalhaan #ManishaRani #JiyaShankar #AbhishekMalhan #SalmanKhan #ElvishYadav #Elvishraosahab #FukraInsaan",en,positive
6,6,"Live Feed - Gossips

Pyaara Baby Elvish . Can't get over his cute behaviour .

#ElvishIsTheBoss #elvisharmy #manisharani #abhisha #fukrainsaan #fukraarmy #elvisha #elvish #elvishyadav",en,positive
7,7,"#Abhisha walon repeat after me ""#AbhishekhMalhan is not jealous at all "" 
#ManishaRani #BiggBossOTT2 #Elvish #ABHISHA #ManishaIsTheBoss",en,neutral
8,8,"LiveFeed- Gossip’s 

#Elvish in funny talk “ he will go for hunger strike”

Watch clip

#ElvishYadav #ElvishArmy
#BigBossOTT2 #LiveFeed",en,positive
9,9,"Thank you Manisha 
#Elvish #elvish_yadav #elvishyadav #ElvishIsTheBoss #AbhisekhMalhan #ABHISHA #bbott #Bbott2 #jiya #Abhiya #SalmanKhan #manisha #manisharani #Aashika #AashikaBhatia #Awinash #PoojaBhatt #RaoSahab #Falak #Fukra",en,neutral
10,10,"#Pooja is trying to create a rift between #Abhishek and #Elvish but he didn't react to it.

#AbhishekMalhan #ElvishYadav #Abhisha #Elvisha #ManishaRani #BiggBossOTT2 #BBOTT2 #FukraInsaan",en,neutral
11,11,Elvish Rao Saha or unki roasting #elvish,en,neutral
12,12,"Bro, I don't even know when did it happen ..? 
Elvish is love 
#Elvish #ElvishYadav #Manisharani #AbhishekMalhan #ABHISHA",en,positive
13,13,"Abhishek told jiya about the power of elvish.

#ManishaRani #AashikaBhatiya #JiyaShankar #AvinashSachdeva
#PoojaBhatt #BiggBossOTT2 #BBOTT2 #BiggBossOTT #Abhisha #ElvishYadav #pandagang #AbhishekMalhaan
#Abhisha #Abhiya #ElvishArmy #Elvish #Elvishraosahab #FukraInsaan",en,neutral
14,14,"#Elvish 
EVERYONE IS KING UNTIL THE REAL KING ARRIVES ",en,positive
15,15,"#ElvishYadav to #AbhishekMalhan : that he is not comfortable with aashika bhatia...

#FukraInsaan #ElvishYadav #Elvish #ElvishArmy
#ElvishIsTheBoss #BiggBoss #AbhishekIsTheBoss #BBOTT2",en,negative
16,16,"the way #Elvish praising and supporting #Abhishek is amazing! 
#BiggBossOTT2onJioCinema
#BiggBossOTT2 #BBOTT2 #JadHadid #PoojaBhatt #Abhisha #AbhishekMalhaan #ManishaRani #JiyaShankar #AbhishekMalhan #SalmanKhan #ElvishYadav #Elvishraosahab #FukraInsaan",en,positive
17,17,"She knows!!
#BBOTT2 #BiggBossOTT2 #WeekendKaVaar #AbhishekMalhan #Abhisha #ElvishYadav #FukraInsaan #ManishaRani #BiggBoss #Abhiya #Abhisha #ShameOnJiya #Elvish",en,neutral
18,18,"Manisha Pause  after Elvish said hmri to dosti yari hai 
#Elvisha Moment 
#Elvish #ElvishYadav #ElvishIsTheBoss
#Elvishraosahab #BiggBossOTT2onJioCinema #BiggBossOTTSeason2 #ManishaRani",en,neutral
