,Tweets
0,
1,"क्रिकेट प्रेमियों के लिए हम कुछ नया लेकर आ रहे हैं। इसके लिए अभी तक WhatsApp ग्रुप से 500 लोग जुड़ चुके हैं। आप भी जरूर जुड़े  

My cricket heroes :

https://chat.whatsapp.com/G1BnUPmy6rAGwDxCHH4oD6…"
2,[2]
3,"""बदलाव"" शब्द पर कुछ लिखिए "
4,"मैं कहीं भी ज्यादा देर टिक नहीं पाता। न लेखन में, न जीवन में। लोगों के प्रति भी यह उकताहट जल्दी ही हो जाती है, क्योंकि जल्दी ही वे अपनी औकात पर उतर आते हैं और मैं उनका चेहरा देखता हुआ वहां से फिर और कहीं चल देता हूँ। दूसरे नहीं अपने प्रति भी यह उकताहट भरी हुई है, पर खुद से दूर… Show more"
5,"माँ-बाप-भाई-बहन ~ घर 

[Thread]"
6,[3]
7,"कौन सी दिशा में बढ़ने को प्रगति कहना चाहिए, इसका कोई पैमाना नहीं है। समय के साथ बहुत चीजों के मायने बदल जाते हैं।

गाँवों का शहरों में परिवर्तित हो जाना, पैरों तले मिट्टी की जगह सीमेंट का होना, खेतों में फसलों की जगह इमारतों का उगना, इंसानों का इंसानों के साथ कम डिवाइसेज के साथ… Show more"
8,"अब आप व्हाट्सएप बिजनेस पर भी मैसेज करके पंक्ति प्रकाशन की पुस्तकें ऑर्डर करें। 

WhatsApp : https://wa.link/ufa1wc"
9, लेखक : @Adityarahbar120
10,सुप्रभात 
11,#hindipanktiyaan
12,क्रिकेट प्रेमियों के लिए जल्दी कुछ नया लांच कर रहे हैं। 
13,"इन किताबों पर लगभग पिछले 6 महीने से काम चल रहा है। पहले इन्हें अप्रैल अंत तक लांच करने का प्लान था लेकिन चीजें सीखते-सीखते जुलाई आ चुका है। फाइनली अब ये किताबें आपके लिए उपलब्ध हैं। आप इन्हें अपने कम्युनिटी बाजार से ऑर्डर कर सकते हैं।

पंक्ति प्रकाशन हिन्दी पंक्तियाँ की एक नयी… Show more"
14,100+ लोग जुड़ चुके हैं 
15,ये पढ़िए 
16,नौकरी और मिडिल क्लास...
17,घर के वास्ते... 
18,"सब कुछ खोने के बाद भी अगर आपमें कुछ करने की हिम्मत है, तो समझ लीजिए आपने कुछ नहीं खोया है।

- अज्ञात"
19,"किस उम्र तक पढ़ा जाए
किस उम्र में कमाया जाए
यह  शौक नहीं
हालात तय करते हैं।

#hindipanktiyaan"
20,"मैं इस घर से प्रेम करता हूँ 
इस टूटे-फूटे और पुराने घर से 
जिसकी मिट्टी सुदूर मैदानों से खोदकर 
लाई गई थी बैलगाड़ियों में 
कभी पिता के ज़माने में 

प्रेम करता हूँ मैं इस घर से 
जिसके आँगन में खड़े हैं 
गुलमोहर के सघन छायादार पेड़ 
जो अमलतास, नीम और गंगाइमली के पेड़ों से घिरा है… Show more"
21,"पिता हैं
तो छतरी है। जूते हैं
पिता हैं
तो दरख़्त है। हिमालय है
पिता हैं
तो नींद है। सपने हैं
पिता हैं
तो सुविधा है नास्तिक होने की,
पिता के होते
ईश्वर की प्रार्थना ज़रूरी नहीं।

माँ है
तो लोरी है। शगुन है
माँ है
तो गीत है। उत्सव है
माँ है
तो मंदिर है। मोक्ष है
माँ है
तो मुमकिन है… Show more"
22,"पंक्ति प्रकाशन की सारी किताबें आप हमारे ऑनलाइन स्टोर से 2 मिनट में ऑर्डर कर सकते हैं। पढ़ते रहिए, लिखते रहिए 

स्टोर लिंक: https://kmuniti.in/bazaar"
23,"तो 'फासले' आ गई है। जाईए और देख आईए। और सुनिए इसे शेयर करना मत भूलिएगा और हां, कैसी लगी जरूर बताइएगा। 

(लिंक कमेंट बॉक्स में)"
24,"Wherever revolution has happened, it has happened in the mind first."
25,"जुड़िए व्हाट्सएप ग्रुप से 
https://chat.whatsapp.com/G1BnUPmy6rAGwDxCHH4oD6…"
26,"पुस्तक प्रेमी लोग हमारे व्हाट्सएप ग्रुप से जरूर जुड़े 
https://chat.whatsapp.com/DJ3rZZZJsur5XgTzkziqIo…"
27,"हम दोनों रोज़ कम से कम एक चिट्ठी 
तो एक दूसरे को लिख ही सकते हैं 

या फिर तुम मुझे कभी - कभी 
कोई किताब भिजवाना।

- लवली गोस्वामी"
28,आवाज़ & पंक्तियाँ:  स्वंय श्रीवास्तव  •   वीडियो क्रेडिट : शुभम कुमार सिंह 
29,ये समझिए 
