,Unnamed: 0,Tweets,Language,Sentiment
0,0,,en,neutral
1,1,Wrestling's world governing body has issued its first statement about the protests by the Indian wrestlers.,en,positive
2,2,"#MiddayEntertainment |

Bride heads back to the set

Via: @upalakbr999
@ReallySwara
#SwaraBhasker #Bride #Set #Bollywood #EntertainmentNews",en,neutral
3,3,"The woman who defaced images of Hindu deity Ram in Aurangabad is a Hindu and is suffering from mental depression, as per police. Propaganda outlet Sudarshan News gave a communal spin to the incident by describing her as 'Jihadi Khatun' | @shinjineemjmdr",en,negative
4,4,https://thequint.com/opinion/manipur-kuki-women-paraded-naked-barbarism-allowed-to-happen?utm_campaign=later-linkinbio-thequint&utm_content=later-36620098&utm_medium=social&utm_source=linkin.bio#read-more…,en,neutral
5,5,"Stunning the lengths to which our govt. and its agencies are going to protect a rape accused! Absolutely shameful!
#WrestlersProtest",en,positive
6,6,Bhakts and BJPees who had been pimping the movie in last few weeks.,en,negative
7,7,Good of @the_hindu to check and counter the spiel that is being fed and regurgitated by so many others.,en,positive
8,8,9 yrs of Modi Vs Legacy of Nehru,en,neutral
9,9,"Jus watched this Excellent explainer video by the indefatigable  @dhruv_rathee 
Well done Dhruv! This is a MUST WATCH esp. for apolitical audiences..",en,positive
10,10,Hang our heads in shame India ! ,en,neutral
11,11,Belated birthday greetings to the very wonderful and gracious @supriya_sule ji.. Have  the best year ma’am and May you always have reason to smile that warm and lovely smile. All my bests for the happy birthday energy to last all year ‘round! ,en,positive
12,12,"Persist. Persevere. Prevail.. is what makes “a woman for all seasons!”
 Love the caption @filmfare
 #FilmfareCover",en,positive
13,13,"FYI, the author herself did not attend because of the presence of Suhel Seth who multiple women accused of sexual harrasment.",en,positive
14,14,I developed a terrible stomach infection this morning. It hit me before I’d even eaten. Spoke to my family doctor and he said that he is seeing at least 10 patients with similar symptoms everyday and some have been hospitalised. The infections seem to be from a bug originating in… Show more,en,negative
15,15,"Remember Mohsin Sheikh? The Pune techie who was lynched to death by right wingers.

Dhananjay Desai was the main accused who was later exonerated because prosecution failed to prove the case.

This man is now speaking to school children. God help them",en,negative
16,16,"Ek Akela ( Plus 38 Parties and ED, CBI, IT, Media, Electoral Bonds ) sab pe bhaari.",en,neutral
17,17,"Happy Father’s Day to one half of my life’s greatest blessing! May you always have your characteristic wisdom and wit to deal with all the drama your progeny bring your way!  You are the best Dad a difficult daughter could ask for! @theUdayB 
(Image: last min tips on how to… Show more",en,positive
18,18,"Dear bigots, Narendra Modi didn't lower your taxes, he didn't build any smart cities or airports (just inaugurated those started by UPA). He didn't get you oxygen during Covid to save the lives of your precious ones. He didn't even get you   cremation or burial space. He didn't… Show more",en,positive
19,19,"The documented history of the RSS will read differently because of our work. We showed Godse was an RSS man when he killed Gandhi. This current cover, on its founder Hedgewar, lays to rest its claims to a revolutionary past. Your subscription ensures the resources for such work.",en,negative
20,20,"""The Indian state of Manipur is on the verge of civil war. Yet Prime Minister Narendra Modi hasn’t said a single word in public about it—let alone visited the conflict-ridden region,"" @SunitaSunitaV writes",en,negative
21,21,"White Man applauds, vishwaguru.
White Man snubs, don’t politicize.

Pandemic ends, vaccineguru.
Pandemic kills, don’t politicize.

Cheetah comes, me sher.
Cheetah dies, don’t politicize.

New train, trainguru.
Train crashes, don’t politicize.

What a boringly predictable pattern.",en,negative
22,22,"#SwaraBhasker publicly flaunts her baby bump and bids her husband #FahadAhmad a sweet goodbye kiss before entering the airport 

@ReallySwara #BollywoodBubble",en,positive
23,23,Henry Kissinger turns 100 today. Here is Anthony Bourdain on the esteemed American statesman.,en,neutral
