,Unnamed: 0,Tweets,Language,Sentiment
0,0,,en,neutral
1,1,"Unlock the unexpected Wrogn treasures with the End of Reason Sale.
Shop here https://bit.ly/MyntraEORSTW
@StayWrogn @myntra
#MyntraEndOfReasonSale #SaveOnFashionWithMyntraEORS
#EORS #StayMad #StayWrogn #ad",en,positive
2,2,"Congratulations @ManCity & @PepTeam on sealing City’s seventh FA Cup!  
Such an effortless display of game and grit by all the players. 
@pumafootball ",en,negative
3,3,Saddened to hear about the tragic train accident in Odisha. My thoughts and prayers go out to the families who lost their loved ones and wishing a speedy recovery to the injured.,en,negative
4,4,"Hey cricket fans! Put your cricketing wisdom to the test and predict correctly for the chance to WIN 2 tickets to the ICC Men's Cricket World Cup 2023 (*T&C apply)... 

Stay tuned!

To find out more, visit 

https://mrftyres.com/wtc-tnc.php
#DriveToTheCricketWorldCup #MRF #WTC #ICC",en,positive
5,5,Look for excuses or look to get better.,en,positive
6,6,"Let it rain fruit this monsoon with O'cean Fruit water. Get drenched with delicious fruit flavour, vitamins and electrolytes to instantly feel super hydrated. Use code VKOCEAN to get a flat 10% off at http://oceanbeverages.in. 

@OceanBeverages
#OceanFruitWater #Hydration #ad",en,positive
7,7,A complete team effort. Congratulations to Yashasvi & Ishan on your Test debuts. ,en,positive
8,8,Prep ,en,neutral
9,9,"The one8 Fitness App ensures that your every workout is challenging yet attainable, helping you achieve your fitness goals.

Click here https://open.one8.app/t8Jz to access a world of workout combinations!

Join me now and let's get moving!  #FitnessMadeEasy #ad
@one8world",en,positive
10,10,"My records. My awards. My wins & losses. #WipeMyRecordClean
Because what I am, has no bearing on what I am about to be!
#MyAccountStartsToday with #HSBCIndia, the springboard of my story that is yet to be written.
Get ready to start yours! https://grp.hsbc/vk_t
@HSBC_IN #ad",en,positive
11,11,"It's time to be better with #Batwrap 
 
I’m proud to announce my all-new Batwrap series, starting with ‘Electric Blue’, helping redesign your game with colour and fun, and play at your best! 
Click: http://batwrap.shop
@batwraps
#BeBetterWithBatwrap #BatwrapIndia #ad",en,positive
